ticker,end_date,metric,tag_a,val_a,tag_b,val_b,diff,pct_diff,filed_a,filed_b
BR,2016-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,437700000,ProvidedByUsedInOperatingActivitiesContinuingOperations,437700000,0,0.0,2018-08-07,2017-08-10
BR,2017-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,515900000,ProvidedByUsedInOperatingActivitiesContinuingOperations,515900000,0,0.0,2019-08-06,2017-08-10
BR,2011-06-30,net_income,NetIncomeLoss,169600000,ProfitLoss,169600000,0,0.0,2013-08-08,2013-08-08
BR,2012-06-30,net_income,NetIncomeLoss,123600000,ProfitLoss,123600000,0,0.0,2013-08-08,2014-08-07
BR,2013-06-30,net_income,NetIncomeLoss,212100000,ProfitLoss,212100000,0,0.0,2013-08-08,2015-08-07
BR,2018-06-30,net_income,NetIncomeLoss,427900000,ProfitLoss,427900000,0,0.0,2020-08-11,2019-08-06
BR,2019-06-30,net_income,NetIncomeLoss,482100000,ProfitLoss,482100000,0,0.0,2021-08-12,2019-08-06
BSY,2020-12-31,net_income,NetIncomeLoss,126521000,ProfitLoss,126521000,0,0.0,2023-02-28,2023-02-28
BSY,2021-12-31,net_income,NetIncomeLoss,93192000,ProfitLoss,93192000,0,0.0,2024-02-27,2024-02-27
BSY,2022-12-31,net_income,NetIncomeLoss,174780000,ProfitLoss,174780000,0,0.0,2025-02-26,2025-02-26
BSY,2023-12-31,net_income,NetIncomeLoss,326787000,ProfitLoss,326787000,0,0.0,2026-02-26,2026-02-26
BSY,2024-12-31,net_income,NetIncomeLoss,234787000,ProfitLoss,234433000,354000,0.15077495772764252,2026-02-26,2026-02-26
BSY,2025-12-31,net_income,NetIncomeLoss,277861000,ProfitLoss,277794000,67000,0.024112775812366614,2026-02-26,2026-02-26
BURL,2013-02-02,operating_cash_flow,ProvidedByUsedInOperatingActivities,452509000,ProvidedByUsedInOperatingActivitiesContinuingOperations,452509000,0,0.0,2014-03-31,2015-03-25
BURL,2014-02-01,operating_cash_flow,ProvidedByUsedInOperatingActivities,289351000,ProvidedByUsedInOperatingActivitiesContinuingOperations,289351000,0,0.0,2014-03-31,2016-03-15
BURL,2017-01-28,operating_cash_flow,ProvidedByUsedInOperatingActivities,615916000,ProvidedByUsedInOperatingActivitiesContinuingOperations,615916000,0,0.0,2019-03-20,2018-03-20
BURL,2018-02-03,operating_cash_flow,ProvidedByUsedInOperatingActivities,607250000,ProvidedByUsedInOperatingActivitiesContinuingOperations,607250000,0,0.0,2020-03-13,2018-03-20
BURL,2017-01-28,net_income,NetIncomeLoss,215873000,ProfitLoss,215873000,0,0.0,2019-03-20,2019-03-20
BURL,2018-02-03,net_income,NetIncomeLoss,384852000,ProfitLoss,384852000,0,0.0,2020-03-13,2020-03-13
BURL,2019-02-02,net_income,NetIncomeLoss,414745000,ProfitLoss,414745000,0,0.0,2021-03-15,2021-03-15
BURL,2020-02-01,net_income,NetIncomeLoss,465116000,ProfitLoss,465116000,0,0.0,2022-03-16,2022-03-16
BURL,2021-01-30,net_income,NetIncomeLoss,-216499000,ProfitLoss,-216499000,0,0.0,2023-03-13,2023-03-13
BURL,2022-01-29,net_income,NetIncomeLoss,230123000,ProfitLoss,408839000,-178716000,43.71305085865096,2025-03-17,2024-03-15
BURL,2023-01-28,net_income,NetIncomeLoss,230123000,ProfitLoss,230123000,0,0.0,2025-03-17,2025-03-17
BURL,2024-02-03,net_income,NetIncomeLoss,339649000,ProfitLoss,339649000,0,0.0,2026-03-19,2026-03-19
BURL,2025-02-01,net_income,NetIncomeLoss,503639000,ProfitLoss,503639000,0,0.0,2026-03-19,2026-03-19
BURL,2026-01-31,net_income,NetIncomeLoss,610153000,ProfitLoss,610153000,0,0.0,2026-03-19,2026-03-19
BWA,2021-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,1306000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,1210000000,96000000,7.3506891271056665,2023-02-09,2024-02-08
BWA,2022-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,1569000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,1180000000,389000000,24.792861695347355,2023-02-09,2025-02-06
BWA,2007-12-31,net_income,NetIncomeLoss,288500000,ProfitLoss,316500000,-28000000,8.846761453396525,2010-02-11,2010-02-11
BWA,2008-12-31,net_income,NetIncomeLoss,-35600000,ProfitLoss,-19300000,-16300000,45.78651685393258,2011-02-10,2011-02-10
BWA,2009-12-31,net_income,NetIncomeLoss,27000000,ProfitLoss,36400000,-9400000,25.82417582417583,2012-02-14,2012-02-14
BWA,2010-12-31,net_income,NetIncomeLoss,377400000,ProfitLoss,396200000,-18800000,4.745078243311459,2013-02-14,2013-02-14
BWA,2011-12-31,net_income,NetIncomeLoss,550100000,ProfitLoss,570600000,-20500000,3.592709428671574,2014-02-13,2014-02-13
BWA,2012-12-31,net_income,NetIncomeLoss,500900000,ProfitLoss,522400000,-21500000,4.115620214395099,2015-02-12,2015-02-12
BWA,2013-12-31,net_income,NetIncomeLoss,624300000,ProfitLoss,651000000,-26700000,4.1013824884792625,2016-02-11,2016-02-11
BWA,2014-12-31,net_income,NetIncomeLoss,655800000,ProfitLoss,687500000,-31700000,4.610909090909091,2017-02-09,2017-02-09
BWA,2015-12-31,net_income,NetIncomeLoss,577200000,ProfitLoss,613900000,-36700000,5.978172340772113,2018-09-28,2018-09-28
BWA,2016-12-31,net_income,NetIncomeLoss,595000000,ProfitLoss,636700000,-41700000,6.5493953196167745,2019-02-19,2019-02-19
BWA,2017-12-31,net_income,NetIncomeLoss,440000000,ProfitLoss,483000000,-43000000,8.902691511387163,2020-02-13,2020-02-13
BWA,2018-12-31,net_income,NetIncomeLoss,931000000,ProfitLoss,985000000,-54000000,5.4822335025380715,2021-02-22,2021-02-22
BWA,2019-12-31,net_income,NetIncomeLoss,746000000,ProfitLoss,797000000,-51000000,6.398996235884567,2022-02-15,2022-02-15
BWA,2020-12-31,net_income,NetIncomeLoss,500000000,ProfitLoss,567000000,-67000000,11.816578483245149,2023-02-09,2023-02-09
BWA,2021-12-31,net_income,NetIncomeLoss,537000000,ProfitLoss,639000000,-102000000,15.96244131455399,2024-02-08,2024-02-08
