ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,form,total_assets,assets_current,cash,accounts_receivable_net,inventory_net,prepaid_expense_current,ppe_net,other_assets_noncurrent,liabilities_current,stockholders_equity,net_income,goodwill,intangibles_net,total_liabilities,assets_noncurrent,liabilities_noncurrent,marketable_securities
AVAV,AeroVironment Inc,2020-01-25,2020-03-04,2020,Q3,0001558370-20-001981,10-Q,559080000.0,457334000.0,131496000.0,27936000.0,65156000.0,6833000.0,19877000.0,16995000.0,60476000.0,490741000.0,-1028000.0,6340000.0,14357000.0,,,,
AVAV,AeroVironment Inc,2020-10-31,2020-12-09,2021,Q2,0001558370-20-014262,10-Q,588007000.0,507599000.0,280099000.0,30701000.0,51779000.0,7310000.0,22868000.0,102000.0,53478000.0,523906000.0,2072000.0,6340000.0,12213000.0,,,,
AVAV,AeroVironment Inc,2021-01-30,2021-03-10,2021,Q3,0001558370-21-002653,10-Q,590992000.0,521544000.0,324543000.0,26621000.0,53104000.0,7693000.0,22920000.0,312000.0,56128000.0,525190000.0,258000.0,6340000.0,11552000.0,,,,
AVAV,AeroVironment Inc,2021-07-31,2021-09-09,2022,Q1,0001558370-21-012327,10-Q,908553000.0,344918000.0,93924000.0,45764000.0,84852000.0,14972000.0,66563000.0,3840000.0,82660000.0,598240000.0,-13918000.0,335029000.0,117855000.0,,,,
AVAV,AeroVironment Inc,2021-10-30,2021-12-08,2022,Q2,0001558370-21-016596,10-Q,925307000.0,364077000.0,104770000.0,26552000.0,81944000.0,13761000.0,68217000.0,6276000.0,101429000.0,599902000.0,2556000.0,335888000.0,110620000.0,,,,
AVAV,AeroVironment Inc,2022-01-29,2022-03-04,2022,Q3,0001558370-22-002839,10-Q,905263000.0,354522000.0,82528000.0,41739000.0,89616000.0,12099000.0,65377000.0,5881000.0,87483000.0,602428000.0,-35000.0,335164000.0,103825000.0,,,,
AVAV,AeroVironment Inc,2022-07-30,2022-09-08,2023,Q1,0001558370-22-014256,10-Q,896654000.0,357268000.0,93183000.0,52062000.0,98603000.0,11368000.0,61862000.0,1961000.0,95876000.0,599923000.0,-8389000.0,333791000.0,91009000.0,,,,
AVAV,AeroVironment Inc,2022-10-29,2022-12-07,2023,Q2,0001558370-22-018418,10-Q,891682000.0,357532000.0,101417000.0,31664000.0,109810000.0,13244000.0,52415000.0,1972000.0,103854000.0,607483000.0,-6629000.0,334963000.0,88660000.0,,,,
AVAV,AeroVironment Inc,2023-01-28,2023-03-06,2023,Q3,0001558370-23-002924,10-Q,921202000.0,390881000.0,78276000.0,52871000.0,125942000.0,15323000.0,45388000.0,8741000.0,116397000.0,621513000.0,-676000.0,336555000.0,83442000.0,,,,
AVAV,AeroVironment Inc,2023-07-29,2023-09-06,2024,Q1,0001558370-23-015470,10-Q,826060000.0,481688000.0,105871000.0,79214000.0,175396000.0,13949000.0,39770000.0,7312000.0,107189000.0,574545000.0,21895000.0,180797000.0,40540000.0,,,,
AVAV,AeroVironment Inc,2023-10-28,2023-12-06,2024,Q2,0001558370-23-019483,10-Q,1006700000.0,524045000.0,100908000.0,73865000.0,181767000.0,19958000.0,43772000.0,9231000.0,109304000.0,574545000.0,17840000.0,274781000.0,82848000.0,,,,
