ticker,company_name,year_end,filing_date,fiscal_year,accession_number,net_income,total_assets,total_liabilities,log_total_assets,leverage,roa,asset_growth,return_next_year
AVAV,AeroVironment Inc,2013-04-30,2013-06-26,2013,0001047469-13-007199,10426000,363465000,48279000.0,19.711193564194755,0.13282984606495812,0.02868501781464515,-0.015402911003898134,0.4417973213615741
AVAV,AeroVironment Inc,2014-04-30,2014-07-09,2014,0001047469-14-006076,13718000,384954000,42487000.0,19.768634404594213,0.11036903110501514,0.035635426570447375,0.059122611530683836,-0.20770841248842256
AVAV,AeroVironment Inc,2015-04-30,2015-07-01,2015,0001047469-15-005880,2895000,397467000,48555000.0,19.80062246974448,0.12216108507121345,0.007283623546105715,0.03250518243738213,0.00286430290935798
AVAV,AeroVironment Inc,2016-04-30,2016-06-29,2016,0001558370-16-006514,8966000,410393000,49133000.0,19.832625795145155,0.11972182761401876,0.02184735119751068,0.03252093884523747,0.31170305292025496
AVAV,AeroVironment Inc,2017-04-30,2017-06-28,2017,0001558370-17-004963,12457000,432500000,50546000.0,19.88509288433621,0.11686936416184972,0.028802312138728324,0.05386787786341385,0.6258824178544903
AVAV,AeroVironment Inc,2018-04-30,2018-06-27,2018,0001558370-18-005457,19852000,472911000,62794000.0,19.974417768075234,0.13278185535967654,0.04197830035672674,0.09343583815028901,-0.2297099281931433
AVAV,AeroVironment Inc,2019-04-30,2019-06-26,2019,0001558370-19-005898,47419000,508844000,46273000.0,20.047652044238603,0.09093749754345143,0.09318966127143093,0.07598258446092394,0.30505705955542933
AVAV,AeroVironment Inc,2020-04-30,2020-06-24,2020,0001558370-20-007720,41070000,584954000,75053000.0,20.187043769625802,0.12830581550002224,0.07021064904248882,0.14957432926397873,0.370945572334691
AVAV,AeroVironment Inc,2021-04-30,2021-06-29,2021,0001558370-21-008684,23345000,928566000,316473000.0,20.649152018621756,0.34081906940379036,0.025140916208433218,0.5874171302358818,-0.15685744822188913
AVAV,AeroVironment Inc,2022-04-30,2022-06-29,2022,0001558370-22-010392,-4185000,914200000,306231000.0,20.633559923861917,0.3349715598337344,-0.004577772916210894,-0.015471167369901548,0.17441385921082933
AVAV,AeroVironment Inc,2023-04-30,2023-06-28,2023,0001558370-23-011469,-176167000,824577000,273607000.0,20.530381085536654,0.3318149790741192,-0.213645299347423,-0.09803434697002844,0.5771713033712198
AVAV,AeroVironment Inc,2024-04-30,2024-06-27,2024,0001558370-24-009515,59666000,1015860000,193115000.0,20.739001381332468,0.19010001378142657,0.05873447128541334,0.23197712281569824,0.45926568229330084
AVAV,AeroVironment Inc,2025-04-30,2025-06-25,2025,0001558370-25-008838,43619000,1120567000,234060000.0,20.837100644152116,0.20887639918005796,0.03892582951309471,0.10307227373850728,
BAH,Booz Allen Hamilton Holding Corp,2013-03-31,2013-05-23,2013,0001443646-13-000010,219058000,3177528000,2950735000.0,21.879369372948144,0.9286259633274672,0.06893975442545275,-0.04140924721950796,0.4258331262852805
BAH,Booz Allen Hamilton Holding Corp,2014-03-31,2014-05-22,2014,0001443646-14-000015,232188000,2940818000,2769182000.0,21.80195361089037,0.9416366466744966,0.07895354285780351,-0.07449501625162705,0.12263976013949911
BAH,Booz Allen Hamilton Holding Corp,2015-03-31,2015-05-21,2015,0001443646-15-000018,232569000,2877493000,2690995000.0,21.780185265890108,0.9351873314722225,0.08082348071741617,-0.021533124457208844,0.20709663061809175
BAH,Booz Allen Hamilton Holding Corp,2016-03-31,2016-05-19,2016,0001443646-16-000138,294094000,3010171000,2601683000.0,21.825262724724762,0.8642974103464554,0.09770009743632505,0.04610888714585926,0.2341849656120261
